logon,{00000001BD8A-094BCFE1},2010-06-22 02:04:20,CCL9026,PC-0155,Logon
logon,{00000001C07C-10806A51},2010-06-22 03:54:20,CCL9026,PC-0128,Logoff
logon,{00000001BD88-1604EA32},2010-06-22 06:30:49,CCL9026,PC-0146,Logon
logon,{00000001BD89-3372D95A},2010-06-22 06:52:47,CCL9026,PC-0041,Logon
logon,{00000001C07B-3108107F},2010-06-22 08:20:47,CCL9026,PC-0159,Logoff
logon,{00000001C07A-2BE49C6D},2010-06-22 09:21:49,CCL9026,PC-0145,Logoff
logon,{00000001BD86-12500B74},2010-06-22 18:21:03,CCL9026,PC-0070,Logon
logon,{00000001BD84-0C47C4E6},2010-06-22 18:41:12,CCL9026,PC-0119,Logon
logon,{00000001C076-36E57A30},2010-06-22 19:15:12,CCL9026,PC-0016,Logoff
logon,{00000001BD8B-1B665144},2010-06-22 19:22:22,CCL9026,PC-0089,Logon
logon,{00000001C078-066192C5},2010-06-22 19:28:03,CCL9026,PC-0092,Logoff
logon,{00000001BD87-34E5D5D2},2010-06-22 21:44:59,CCL9026,PC-0067,Logon
logon,{00000001BD85-0B18411C},2010-06-22 21:49:05,CCL9026,PC-0034,Logon
logon,{00000001C07D-04BCEAF6},2010-06-22 22:46:22,CCL9026,PC-0086,Logoff
logon,{00000001C077-10F86F45},2010-06-22 23:07:05,CCL9026,PC-0038,Logoff
logon,{00000001C079-017C50F2},2010-06-22 23:51:59,CCL9026,PC-0118,Logoff
logon,{00000001BD8D-28AE9238},2010-06-23 00:38:21,CCL9026,PC-0089,Logon
logon,{00000001C07F-177D625E},2010-06-23 02:00:21,CCL9026,PC-0096,Logoff
logon,{00000001BD90-3778A438},2010-06-23 03:06:25,CCL9026,PC-0137,Logon
logon,{00000001C082-23DCC841},2010-06-23 05:37:25,CCL9026,PC-0099,Logoff
logon,{00000001BD91-140E54D8},2010-06-23 05:52:15,CCL9026,PC-0067,Logon
logon,{00000001C083-2C0D0B73},2010-06-23 06:47:15,CCL9026,PC-0119,Logoff
logon,{00000001BD8C-35ECBE86},2010-06-23 19:48:04,CCL9026,PC-0146,Logon
logon,{00000001BD92-3DEE02F2},2010-06-23 21:25:58,CCL9026,PC-0123,Logon
logon,{00000001BD8F-098FE73C},2010-06-23 22:15:59,CCL9026,PC-0091,Logon
logon,{00000001BD8E-365EB7EF},2010-06-23 22:53:36,CCL9026,PC-0038,Logon
logon,{00000001C07E-21C81234},2010-06-23 23:13:04,CCL9026,PC-0148,Logoff
logon,{00000001C084-12BD297B},2010-06-23 23:31:58,CCL9026,PC-0135,Logoff
logon,{00000001C081-254B8894},2010-06-24 01:04:59,CCL9026,PC-0058,Logoff
