logon,{00000001BFB5-35D2089C},2010-04-07 05:00:32,TTJ2624,PC-0100,Logon
logon,{00000001C2A7-0E0C7B42},2010-04-07 08:14:32,TTJ2624,PC-0047,Logoff
logon,{00000001BFB4-110C3081},2010-04-07 19:57:29,TTJ2624,PC-0134,Logon
logon,{00000001C2A6-2ED245A3},2010-04-07 20:28:29,TTJ2624,PC-0118,Logoff
logon,{00000001BFB6-2C8AA627},2010-04-07 22:52:30,TTJ2624,PC-0038,Logon
logon,{00000001BFB9-00F1F601},2010-04-08 00:35:30,TTJ2624,PC-0077,Logon
logon,{00000001C2AB-2DCBA2AE},2010-04-08 01:31:30,TTJ2624,PC-0146,Logoff
logon,{00000001C2A8-10E60D38},2010-04-08 01:39:30,TTJ2624,PC-0124,Logoff
logon,{00000001BFB8-2A21861D},2010-04-08 19:48:35,TTJ2624,PC-0030,Logon
logon,{00000001C2AA-01E0E0B8},2010-04-08 21:09:35,TTJ2624,PC-0108,Logoff
logon,{00000001BFB7-380E9249},2010-04-08 22:31:58,TTJ2624,PC-0148,Logon
logon,{00000001C2A9-015BA413},2010-04-08 23:20:58,TTJ2624,PC-0153,Logoff
logon,{00000001BFBB-2AED875F},2010-04-09 01:47:56,TTJ2624,PC-0058,Logon
logon,{00000001BFBF-08B44B71},2010-04-09 01:51:19,TTJ2624,PC-0046,Logon
logon,{00000001BFBD-148D32F6},2010-04-09 02:23:16,TTJ2624,PC-0053,Logon
logon,{00000001C2AF-2E666F4F},2010-04-09 05:17:16,TTJ2624,PC-0016,Logoff
logon,{00000001C2AD-27A78CA0},2010-04-09 05:26:56,TTJ2624,PC-0132,Logoff
logon,{00000001C2B1-038FDA8E},2010-04-09 05:38:19,TTJ2624,PC-0097,Logoff
logon,{00000001BFBE-1DF0FB47},2010-04-09 21:15:21,TTJ2624,PC-0019,Logon
logon,{00000001BFBA-3A346740},2010-04-09 21:17:31,TTJ2624,PC-0149,Logon
logon,{00000001BFBC-081D9603},2010-04-09 22:15:15,TTJ2624,PC-0003,Logon
logon,{00000001C2B0-0E982EFC},2010-04-09 22:47:21,TTJ2624,PC-0142,Logoff
logon,{00000001C2AC-295B9679},2010-04-09 23:11:31,TTJ2624,PC-0003,Logoff
logon,{00000001C2AE-327B53CB},2010-04-10 01:21:15,TTJ2624,PC-0153,Logoff
logon,{00000001BFC0-2C1FB3AC},2010-04-12 01:22:39,TTJ2624,PC-0044,Logon
logon,{00000001BFC2-1605464A},2010-04-12 04:42:34,TTJ2624,PC-0116,Logon
logon,{00000001C2B2-39B0D59B},2010-04-12 04:43:39,TTJ2624,PC-0039,Logoff
logon,{00000001C2B4-37C8168E},2010-04-12 07:25:34,TTJ2624,PC-0157,Logoff
logon,{00000001BFC4-1F36E2A2},2010-04-12 18:34:47,TTJ2624,PC-0009,Logon
logon,{00000001C2B6-01E69DAD},2010-04-12 21:48:47,TTJ2624,PC-0151,Logoff
logon,{00000001BFC1-08C5C4B3},2010-04-12 22:32:58,TTJ2624,PC-0092,Logon
logon,{00000001BFC3-2C23DD1A},2010-04-12 22:48:28,TTJ2624,PC-0072,Logon
